url_path,views_total,views_unique
/idurar/idurar-erp-crm,561,318
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,85,35
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,73,28
/idurar/idurar-erp-crm/tree/master/models/erpModels,69,27
/idurar/idurar-erp-crm/tree/master/models,68,30
/idurar/idurar-erp-crm/tree/master/controllers,65,29
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,50,21
/idurar/idurar-erp-crm/tree/master/middlewares,36,17
/idurar/idurar-erp-crm/tree/master/setup,33,14
/idurar/idurar-erp-crm/tree/master/public,28,18
